Unnamed: 0,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
0,flat,experion the heartsong,sector 108,1.6,7988.0,3,4,3+,3.0,Relatively New,1500.29,0,1,0,0,0,1,60
1,flat,emaar gurgaon greens,sector 102,1.55,9394.0,3,4,3,7.0,Relatively New,1315.0,0,1,0,0,0,1,152
2,flat,sobha city,sector 108,3.75,14940.0,3,3,2,16.0,New Property,2120.0,0,1,0,0,0,0,77
3,flat,tulip violet,sector 69,1.28,8112.0,3,3,2,12.0,Relatively New,1428.0,0,0,0,1,0,1,49
4,flat,spaze privy at,sector 84,1.35,9643.0,3,3,3,7.0,Relatively New,1750.0,0,0,0,1,0,0,90
5,flat,imperia the esfera,sector 37c,0.98,5399.0,3,4,3,9.0,Relatively New,1660.0,0,1,0,0,1,0,49
6,flat,ss the leaf,sector 85,1.83,7609.0,3,4,3,9.0,Relatively New,1925.0,0,0,0,0,0,0,49
7,flat,prasha apartments,manesar,0.75,3308.0,3,3,3+,3.0,Moderately Old,1914.0,0,1,0,0,0,0,31
8,house,signature global city,sector 37d,1.27,8089.0,3,3,3,4.0,Under Construction,1570.0,0,0,0,1,0,0,89
9,house,independent,sector 7,2.0,13889.0,2,2,2,2.0,Old Property,1440.0,0,0,0,0,0,0,22
10,flat,bestech park view city,sector 48,1.78,10023.0,3,4,2,5.0,Relatively New,1526.0,1,0,0,1,0,0,53
11,flat,the serenas,sector 36,0.42,7910.0,2,2,1,3.0,New Property,590.0,0,0,0,0,0,0,0
12,flat,sbtl caladium,sector 109,1.8,7073.0,3,3,3+,10.0,Relatively New,2000.0,0,0,0,0,0,0,174
13,flat,paras quartier,gwal pahari,5.9,11028.0,4,4,3+,0.0,Moderately Old,5350.0,0,0,0,0,0,0,63
14,house,international city by sobha phase 2,sector 109,6.25,11574.0,4,4,3+,2.0,Relatively New,5400.0,0,1,0,0,0,0,138
15,flat,puri emerald bay,sector 104,2.55,10408.0,4,4,3+,5.0,Relatively New,2303.0,0,1,0,0,0,0,49
16,house,dlf city plots phase 2,sector 25,10.5,29022.0,4,4,2,2.0,Old Property,3618.0,0,1,0,1,0,1,91
17,flat,raheja revanta,sector 78,1.2,10017.0,1,2,2,32.0,Under Construction,823.0,0,0,0,0,0,0,39
18,flat,raheja vanya,sector 99a,0.59,3976.0,2,2,3,1.0,Under Construction,1133.0,0,0,0,0,1,0,96
19,house,independent,sector 2,4.99,18887.0,4,4,3+,3.0,Moderately Old,2642.0,0,1,1,1,0,0,43
20,house,independent,sector 25,6.5,36111.0,4,3,3,3.0,Moderately Old,1800.0,1,0,0,1,0,0,19
21,flat,bptp terra,sector 37d,1.98,9037.0,3,3,3+,12.0,New Property,1983.0,1,0,0,0,0,1,49
22,flat,green court,sector 90,0.47,6812.0,2,2,1,0.0,New Property,767.0,0,0,0,0,0,0,49
23,house,independent,sector 5,3.75,11029.0,5,5,3+,3.0,Old Property,3400.0,0,0,0,0,0,0,0
24,flat,the close north,sector 50,2.5,11945.0,3,3,3,11.0,Relatively New,1894.0,0,0,0,1,0,1,127
25,flat,ramsons kshitij,sector 95,0.33,3910.0,2,2,1,14.0,New Property,694.0,0,0,0,0,1,1,79
26,flat,experion windchants,sector 112,5.6,11530.0,4,6,3+,15.0,Moderately Old,3662.34,0,1,0,0,0,1,157
27,flat,tata primanti,sector 72,4.1,13726.0,3,3,3,8.0,Moderately Old,2308.0,0,1,0,0,0,0,38
