,property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
0,flat,experion the heartsong,sector 108,1.6,7988.0,2003.0,Super Built up area 2003(186.08 sq.m.)Built Up area: 1500.29 sq.ft. (139.38 sq.m.)Carpet area: 1140.98 sq.ft. (106 sq.m.),3,4,3+,3.0,South,Relatively New,2003.0,1500.29,1140.98,0,1,0,0,0,1,60
1,flat,emaar gurgaon greens,sector 102,1.55,9394.0,1650.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),3,4,3,7.0,North,Relatively New,1650.0,,1022.58,0,1,0,0,0,1,152
2,flat,sobha city,sector 108,3.75,14940.0,2510.0,Super Built up area 2343(217.67 sq.m.),3,3,2,16.0,North-East,New Property,2343.0,,,0,1,0,0,0,0,77
3,flat,tulip violet,sector 69,1.28,8112.0,1578.0,Super Built up area 1578(146.6 sq.m.),3,3,2,12.0,South-West,Relatively New,1578.0,,,0,0,0,1,0,1,49
4,flat,spaze privy at,sector 84,1.35,9643.0,1400.0,Super Built up area 1918(178.19 sq.m.)Built Up area: 1750 sq.ft. (162.58 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3,7.0,South-East,Relatively New,1918.0,1750.0,1400.0,0,0,0,1,0,0,90
5,flat,imperia the esfera,sector 37c,0.98,5399.0,1815.0,Super Built up area 1815(168.62 sq.m.)Carpet area: 1510 sq.ft. (140.28 sq.m.),3,4,3,9.0,South-West,Relatively New,1815.0,,1510.0,0,1,0,0,1,0,49
6,flat,ss the leaf,sector 85,1.83,7609.0,2405.0,Super Built up area 2408(223.71 sq.m.)Built Up area: 1925 sq.ft. (178.84 sq.m.)Carpet area: 1875 sq.ft. (174.19 sq.m.),3,4,3,9.0,North-East,Relatively New,2408.0,1925.0,1875.0,0,0,0,0,0,0,49
7,flat,prasha apartments,manesar,0.75,3308.0,2267.0,Super Built up area 2115(196.49 sq.m.),3,3,3+,3.0,West,Moderately Old,2115.0,,,0,1,0,0,0,0,31
8,house,signature global city,sector 37d,1.27,8089.0,1570.0,Plot area 1570(145.86 sq.m.),3,3,3,4.0,East,Under Construction,,1570.0,,0,0,0,1,0,0,89
9,house,independent,sector 7,2.0,13889.0,1440.0,Plot area 160(133.78 sq.m.),2,2,2,2.0,North-West,Old Property,,1440.0,,0,0,0,0,0,0,22
10,flat,bestech park view city,sector 48,1.78,10023.0,1776.0,Super Built up area 1776(165 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3,4,2,5.0,,Relatively New,1776.0,,1300.0,1,0,0,1,0,0,53
11,flat,the serenas,sector 36,0.42,7910.0,531.0,Carpet area: 531 (49.33 sq.m.),2,2,1,3.0,,Undefined,,,531.0,0,0,0,0,0,0,0
12,flat,sbtl caladium,sector 109,1.8,7073.0,2545.0,Super Built up area 2545(236.44 sq.m.)Carpet area: 1527 sq.ft. (141.86 sq.m.),3,3,3+,10.0,East,Relatively New,2545.0,,1527.0,0,0,0,0,0,0,174
13,flat,paras quartier,gwal pahari,5.9,11028.0,5350.0,Built Up area: 5350 (497.03 sq.m.),4,4,3+,0.0,,Moderately Old,,5350.0,,0,0,0,0,0,0,63
14,house,international city by sobha phase 2,sector 109,6.25,11574.0,5400.0,Plot area 600(501.68 sq.m.),4,4,3+,2.0,East,Relatively New,,5400.0,,0,1,0,0,0,0,138
15,flat,puri emerald bay,sector 104,2.55,10408.0,2450.0,Super Built up area 2450(227.61 sq.m.)Carpet area: 2150 sq.ft. (199.74 sq.m.),4,4,3+,5.0,East,Relatively New,2450.0,,2150.0,0,1,0,0,0,0,49
16,house,dlf city plots phase 2,sector 25,10.5,29022.0,3618.0,Plot area 402(37.35 sq.m.),4,4,2,2.0,East,Old Property,,402.0,,0,1,0,1,0,1,91
17,flat,raheja revanta,sector 78,1.2,10017.0,1198.0,Super Built up area 1197.8(111.28 sq.m.)Carpet area: 505 sq.ft. (46.92 sq.m.),1,2,2,32.0,,Under Construction,1197.8,,505.0,0,0,0,0,0,0,39
18,flat,raheja vanya,sector 99a,0.59,3976.0,1484.0,Super Built up area 1252.13(116.33 sq.m.),2,2,3,1.0,East,Under Construction,1252.13,,,0,0,0,0,1,0,96
19,house,independent,sector 2,4.99,18887.0,2642.0,Plot area 270(225.75 sq.m.),4,4,3+,3.0,North,Moderately Old,,270.0,,0,1,1,1,0,0,43
20,house,independent,sector 25,6.5,36111.0,1800.0,Plot area 200(167.23 sq.m.),4,3,3,3.0,,Moderately Old,,1800.0,,1,0,0,1,0,0,19
21,flat,bptp terra,sector 37d,1.98,9037.0,2191.0,Super Built up area 2191(203.55 sq.m.),3,3,3+,12.0,North-East,New Property,2191.0,,,1,0,0,0,0,1,49
22,flat,green court,sector 90,0.47,6812.0,690.0,Carpet area: 690 (64.1 sq.m.),2,2,1,0.0,East,New Property,,,690.0,0,0,0,0,0,0,49
23,house,independent,sector 5,3.75,11029.0,3400.0,Built Up area: 3400 (315.87 sq.m.)Carpet area: 1836 sq.ft. (170.57 sq.m.),5,5,3+,3.0,,Undefined,,3400.0,1836.0,0,0,0,0,0,0,0
24,flat,the close north,sector 50,2.5,11945.0,2093.0,Super Built up area 2093(194.45 sq.m.),3,3,3,11.0,North-East,Relatively New,2093.0,,,0,0,0,1,0,1,127
25,flat,ramsons kshitij,sector 95,0.33,3910.0,844.0,Super Built up area 767(71.26 sq.m.),2,2,1,14.0,South,New Property,767.0,,,0,0,0,0,1,1,79
26,flat,experion windchants,sector 112,5.6,11530.0,4857.0,Super Built up area 4857(451.23 sq.m.)Built Up area: 3662.34 sq.ft. (340.24 sq.m.),4,6,3+,15.0,North-East,Moderately Old,4857.0,3662.34,,0,1,0,0,0,1,157
27,flat,tata primanti,sector 72,4.1,13726.0,2987.0,Super Built up area 2550(236.9 sq.m.),3,3,3,8.0,,Moderately Old,2550.0,,,0,1,0,0,0,0,38
28,house,dlf city plots,sector 26,17.0,37627.0,4518.0,Plot area 502(419.74 sq.m.),5,6,3,2.0,North-West,Old Property,,4518.0,,0,1,1,1,0,1,87
29,flat,m3m sierra 68,sector 68,1.25,10246.0,1220.0,Super Built up area 1220(113.34 sq.m.)Carpet area: 694 sq.ft. (64.47 sq.m.),2,2,3,4.0,,New Property,1220.0,,694.0,0,0,0,0,0,0,44
30,flat,ss the leaf,sector 85,2.7,7754.0,3482.0,Super Built up area 3482(323.49 sq.m.),4,4,3+,23.0,,New Property,3482.0,,,0,0,0,0,0,0,21
31,flat,chd avenue,sector 71,1.2,7407.0,1620.0,Super Built up area 1620(150.5 sq.m.),3,3,3,4.0,North,Relatively New,1620.0,,,0,0,0,0,1,1,49
32,flat,ireo the corridors,sector 67a,2.0,11429.0,1750.0,Super Built up area 1750(162.58 sq.m.),3,3,3,12.0,,New Property,1750.0,,,1,0,0,0,0,0,38
33,house,vipul tatvam villa,sector 48,8.5,21250.0,4000.0,Plot area 4000(371.61 sq.m.),4,5,3+,2.0,North,Moderately Old,,4000.0,,1,1,0,1,1,1,49
34,flat,ss the leaf,sector 85,1.05,6162.0,1704.0,Super Built up area 1671(155.24 sq.m.),2,2,3+,7.0,West,Relatively New,1671.0,,,0,0,1,0,0,0,144
35,flat,shapoorji pallonji joyville gurugram,sector 102,1.28,10535.0,1215.0,Super Built up area 1215(112.88 sq.m.),2,2,3,10.0,East,Relatively New,1215.0,,,0,0,0,0,0,0,49
36,flat,hero homes,sector 104,1.35,9568.0,1411.0,Super Built up area 1359(126.26 sq.m.)Carpet area: 861.97 sq.ft. (80.08 sq.m.),3,2,2,18.0,East,New Property,1359.0,,861.97,0,0,0,0,0,0,49
37,flat,vatika city homes,sector 83,1.08,6207.0,1740.0,Super Built up area 1740(161.65 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3,3,3,6.0,South-West,Relatively New,1740.0,,1350.0,0,0,1,0,0,0,111
38,flat,puri diplomatic greens,sector 111,3.65,12373.0,2950.0,Super Built up area 2950(274.06 sq.m.),4,5,3+,17.0,West,Moderately Old,2950.0,,,0,1,0,0,0,0,132
39,flat,tulip violet,sector 69,1.55,9823.0,1578.0,Super Built up area 1578(146.6 sq.m.),3,3,2,9.0,North-East,Relatively New,1578.0,,,0,0,0,1,0,1,165
40,flat,godrej air,sector 85,1.75,9589.0,1825.0,Built Up area: 1825 (169.55 sq.m.),3,3,2,27.0,,Undefined,,1825.0,,0,0,0,0,0,0,44
41,flat,awho shanti vihar,sector 95,0.8,8889.0,900.0,Super Built up area 900(83.61 sq.m.)Carpet area: 550 sq.ft. (51.1 sq.m.),2,2,3,9.0,East,New Property,900.0,,550.0,1,0,0,0,0,0,67
42,flat,paras dews,sector 106,0.88,6354.0,1385.0,Super Built up area 1385(128.67 sq.m.)Built Up area: 1120 sq.ft. (104.05 sq.m.)Carpet area: 1040 sq.ft. (96.62 sq.m.),2,2,3+,3.0,South-East,Relatively New,1385.0,1120.0,1040.0,0,0,0,0,0,0,49
